id,created_at,text
1025532490528772097,2018-08-04 00:02:53,"@BriannaBadtke Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025532332789432321,2018-08-04 00:02:16,"@selfrelatee_ Sorry, you're too late! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025532273431642112,2018-08-04 00:02:02,"@Beaudoin912 Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025532109895737345,2018-08-04 00:01:23,"@pushashark Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025531941246914561,2018-08-04 00:00:42,"@_thelifeofjay Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025531812943200256,2018-08-04 00:00:12,"@tortellachip Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025531798963593216,2018-08-04 00:00:08,"@speedogamerx7 Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025531764117139456,2018-08-04 00:00:00,"The time is now. Submit your questions about Marvel Studios' ""Avengers: #InfinityWar,"" and the @russo_brothers may… https://t.co/O6UU4gLoGj"
1025531430171025409,2018-08-03 23:58:41,"@t_whiting11 Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025531371324956673,2018-08-03 23:58:27,"@hmhmhm0000 Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025531204605554693,2018-08-03 23:57:47,"@CaptainSpike191 Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025531197500346368,2018-08-03 23:57:45,"@ilovelup Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025531099605360640,2018-08-03 23:57:22,"@PKCJustice Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025530818331140096,2018-08-03 23:56:15,"@SillerDavidpoet Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025530658502963200,2018-08-03 23:55:37,"@GingerAussie01 Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025530608309751808,2018-08-03 23:55:25,"@Alfred32715211 Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025530280407392256,2018-08-03 23:54:06,"@akki_0628 Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025530264259317763,2018-08-03 23:54:03,"@_raarar Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025530242675494913,2018-08-03 23:53:57,"@luttrell_da Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025530234400071687,2018-08-03 23:53:55,"@bigdonkus Sorry, you're too late! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025530052606402561,2018-08-03 23:53:12,"@Eze_B_Vlogs Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025529990186708992,2018-08-03 23:52:57,"@lucaswild Sorry, you're too late! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025529607678816256,2018-08-03 23:51:26,"@ernieramirez92 Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025529603371229184,2018-08-03 23:51:25,"@elquetedaporatr Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025529309816082434,2018-08-03 23:50:15,"@fetttwitt Sorry, you're too late! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025529013975085056,2018-08-03 23:49:04,"@Ennisdj We got your first order. If I’m wrong, DM @gofoojihelp and they’ll fix it. #InfinityWar #SquadGoalsGiveaway"
1025529002436567040,2018-08-03 23:49:02,"@allison_m324 Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025528908861648896,2018-08-03 23:48:39,"@KOMbandSF Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025528750098796547,2018-08-03 23:48:02,"@JustinMyers37 Sorry, you're too late! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025528557798387712,2018-08-03 23:47:16,"@avensherlock Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025528208425459718,2018-08-03 23:45:52,"@zpinternational Sorry, you're too late! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025528127269818368,2018-08-03 23:45:33,"@whatevenrnames Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025528123138498562,2018-08-03 23:45:32,"@LegacyBlurry Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025527799799574531,2018-08-03 23:44:15,"@dontspamcharlee Sorry, you're too late! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025527509608267776,2018-08-03 23:43:06,"@Daniell_Smith Sorry, you're too late! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025527093126483969,2018-08-03 23:41:27,"@PlanetNestor Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025527083706052608,2018-08-03 23:41:24,"@TheMBrand Destiny only arrives once. We got your first order. If I’m wrong, DM @gofoojihelp and they’ll fix it.… https://t.co/h4Q93dWNhb"
1025527005171855361,2018-08-03 23:41:06,"@aka_maine Sorry, you're too late! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025526886749880325,2018-08-03 23:40:37,"@gagee_12 Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025526774875213825,2018-08-03 23:40:11,"@HaydenHigdon Sorry, you're too late! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025526527079968774,2018-08-03 23:39:12,"@sweetmatcha Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025526281843236864,2018-08-03 23:38:13,"@AxelCisneros_ Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025525828258619392,2018-08-03 23:36:25,"@cassielarimer Sorry, you're too late! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025525676215029760,2018-08-03 23:35:49,"@skippiington Sorry, THANOS was here and turned our shirts into ashes! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
1025525675887865856,2018-08-03 23:35:49,"@deanmcbee1 Sorry, the giveaway is over! Thank you for playing. #InfinityWar #SquadGoalsGiveaway"
